reaction,Catalyst,Solvent,Temperature (K),Nucleophile,Electrophile,ee (%),∆∆G‡ (kcal/mol),Nuc_HOMO,Nuc_LUMO,Nuc_Polarizability,Nuc_dipole,Nuc_NBO (X),Nuc_X-H bond length,Nuc_L(H-X-Large),Nuc_B1(H-X-Large),Nuc_B5(H-X-Large),Nuc_L(H-X-Small),Nuc_B1(H-X-Small),Nuc_B5(H-X-Small),Nuc_L(avg.),Nuc_B1(avg),Nuc_B5(avg),Elec_HOMO,Elec_LUMO,Elec_Polarizability,Elec_NBO (C),Elec_NBO(C+1),Elec_NBO (N),Elec_L(R1),Elec_B1(R1),Elec_B5(R1),Cat_HOMO,Cat_LUMO,Cat_Polarizability,Cat_NBO (NR2),Cat_NBO (C=X),Cat_NMR (C=X),Cat_v(N-H)-Achrial,Cat_i(N-H)-Achiral,Cat_v(N-H)-Chiral,Cat_i(N-H)-Chiral,Cat_NBO (N)-Achrial,Cat_NBO (H)-Achrial,Cat_NBO (N)-Chiral,Cat_NBO (H)-Chiral,Cat_L (N-Chiral),Cat_B1 (N-Chiral,Cat_B5 (N-Chiral),Cat_L (N-Achiral),Cat_B1 (N-Achiral),Cat_B5 (N-Achrial),Cat_MSA (Full),Solv_PEOE1
Rxn88,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-4-Cl Ph,Me",94,2.16,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.31089,-0.0704,141.717,0.08312,-0.13243,0.50165,8.18,1.7,3.27,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn89,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-4-CN Ph,Me",90,1.83,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.32903,-0.085,145.843,0.07233,-0.12233,0.50117,8.84,1.7,3.27,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn90,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-4-F Ph,Me",90,1.83,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.31255,-0.06733,125.991,0.08617,-0.13615,0.50157,7.48,1.7,3.26,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn91,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-4-Me Ph,Me",94,2.16,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.30253,-0.06183,141.464,0.08963,-0.13865,0.5017,7.92,1.76,3.26,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn92,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-Et,Me",64,0.94,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.34559,-0.04854,78.2467,0.11407,-0.16651,0.50579,4.8,1.7,3.22,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn93,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-2-furyl,Me",92,1.98,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.29426,-0.0698,111.338,0.03481,-0.12991,0.49894,6.12,1.7,3.16,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn94,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-Ph,Et",94,2.16,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.31373,-0.06324,136.246,0.09804,-0.14196,0.5029,6.87,1.7,3.26,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn95,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-Ph,Me",94,2.16,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.31268,-0.06436,125.204,0.08623,-0.13564,0.50172,6.87,1.7,3.27,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn96,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-Ph,n-Pr",96,2.42,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.31283,-0.06302,148.932,0.1013,-0.14202,0.50292,6.87,1.7,3.25,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
Rxn97,Thiourea-9,Toluene,313,HantszhEster-tBu,"Nitroalkene-t-Bu,Me",92,1.98,-0.24842,-0.01813,227.603,0.5954,-0.56562,1.007,9.63,3.24,6.35,9.63,3.24,6.35,9.63,3.24,6.35,-0.34386,-0.04807,101.875,0.13405,-0.1659,0.50578,4.73,2.85,3.29,-0.24575,0.02684,314.292,-0.35035,0.32323,219.7341,3532.95,55.7523,3583.47,14.0415,-0.61048,0.423,-0.59742,0.38093,6.72,2.17,5.96,6.61,3.14,5.84,372.854,0
